4	542
5	436
6	471
7	208
8	327
9	335
10	937
12	618
13	521
14	274
16	112
18	563
19	465
22	388
24	245
25	673
27	874
28	449
29	479
30	553
31	183
32	378
33	115
34	665
35	83
37	248
38	479
39	466
41	60
42	355
43	146
46	270
47	459
48	275
50	123
51	908
52	539
53	680
54	113
55	805
56	475
57	794
58	55
59	686
60	124
64	146
65	386
66	245
68	98
69	901
70	98
71	907
72	686
73	396
74	303
75	430
76	784
77	646
79	921
81	549
84	172
85	138
86	208
87	478
89	670
90	272
91	170
92	810
93	113
94	613
95	114
96	752
99	714
100	575
103	312
105	352
106	935
108	909
109	893
110	381
111	398
112	232
113	380
115	709
116	374
117	496
118	94
119	76
120	283
121	528
122	334
123	177
125	57
128	336
130	816
131	2
132	630
134	476
135	632
136	464
137	899
139	695
140	919
141	234
142	936
143	412
144	417
145	413
146	773
147	165
148	412
150	594
152	770
154	921
156	191
157	514
158	314
159	8
160	663
162	725
164	398
165	56
166	383
167	839
168	497
169	372
170	139
171	83
172	464
173	754
176	528
177	614
178	349
179	836
180	368
182	588
183	560
184	881
187	254
188	491
189	428
190	607
191	444
192	519
194	91
195	6
197	901
198	399
200	120
203	309
204	464
208	218
209	450
210	165
211	167
213	350
215	721
216	177
218	566
219	616
220	205
221	282
225	761
226	248
227	568
230	101
231	222
232	635
233	170
236	834
237	823
238	641
239	867
240	912
241	301
242	154
243	466
244	699
245	588
247	143
248	779
249	366
250	579
252	77
253	677
254	304
256	444
257	241
259	576
260	64
263	667
264	596
265	805
267	287
270	308
271	719
272	13
273	491
274	356
275	924
276	835
277	91
278	354
279	597
280	121
281	291
282	899
283	216
284	133
286	667
287	62
288	789
291	407
292	334
293	391
294	707
295	27
296	122
297	130
298	850
299	777
300	60
303	555
305	207
306	599
307	540
308	751
309	690
310	100
311	201
312	409
313	522
314	247
315	54
317	342
318	538
319	320
320	478
321	119
322	816
323	139
324	422
325	481
326	297
327	262
328	231
329	796
330	241
331	674
332	272
333	675
334	667
335	927
336	837
337	799
338	860
339	879
341	663
342	291
343	184
344	306
345	47
346	528
347	348
348	471
350	27
351	470
352	310
355	818
356	173
357	198
359	743
360	833
361	483
362	391
363	341
365	172
367	346
369	836
370	654
371	829
372	670
373	624
374	749
377	290
378	665
379	489
380	694
381	601
383	325
384	112
386	894
387	434
388	415
389	426
390	417
393	179
395	25
396	218
397	125
398	189
400	180
402	386
403	54
404	334
406	123
407	678
408	171
409	474
411	373
412	530
413	855
414	673
415	377
416	167
417	841
419	896
420	779
421	312
422	877
423	861
424	227
427	304
428	717
429	698
430	183
431	75
432	754
433	710
434	937
435	113
436	47
438	881
439	763
440	558
441	880
442	650
447	936
448	700
449	479
450	464
452	145
455	28
456	450
457	555
458	100
459	27
460	620
462	290
464	760
465	195
467	507
468	60
469	87
470	759
471	630
472	872
473	307
474	320
475	322
476	373
478	145
479	309
480	442
481	301
482	366
483	703
484	277
486	390
488	397
489	287
491	798
492	395
493	379
494	768
495	885
496	822
497	258
498	426
499	93
500	317
501	324
502	118
503	438
504	467
506	343
507	303
511	43
512	539
513	529
514	197
515	397
516	136
517	406
518	943
519	596
521	788
522	501
524	46
526	614
527	352
529	511
530	25
531	309
533	517
534	158
535	251
536	96
538	221
539	334
540	79
541	71
542	79
543	370
545	926
546	357
547	586
548	124
549	668
550	11
551	74
553	584
554	497
555	256
556	856
557	144
559	793
560	59
562	358
563	813
564	42
565	517
567	306
568	146
569	361
571	57
572	478
573	397
574	145
576	85
577	671
579	896
581	413
583	422
585	863
586	684
588	505
589	677
591	551
592	764
593	328
595	380
597	596
599	35
600	934
601	377
602	163
603	850
604	468
605	207
606	400
607	899
608	303
610	338
613	369
614	135
615	807
616	236
618	503
619	284
620	467
621	69
622	423
623	56
624	261
625	650
627	457
628	30
629	720
630	340
632	121
633	85
634	576
635	226
638	790
640	474
641	532
642	99
643	359
644	294
645	815
647	687
648	71
649	304
650	677
651	46
652	468
654	527
658	629
659	90
661	686
662	834
663	875
664	189
665	204
666	534
667	898
668	242
669	597
671	756
672	634
674	178
676	428
678	760
679	281
683	779
684	88
686	767
688	145
689	343
691	756
693	556
695	25
696	59
697	704
698	618
700	408
701	319
703	162
704	810
705	577
706	869
707	482
708	54
709	588
710	633
712	357
714	93
715	342
716	222
718	613
721	286
722	281
723	67
725	600
727	766
728	365
730	211
732	817
734	817
735	300
737	641
738	493
739	925
741	665
742	462
743	43
744	531
746	213
747	41
749	322
750	893
751	721
753	779
755	585
756	838
757	476
758	67
759	436
760	669
761	557
762	277
763	760
766	204
767	429
768	619
770	884
771	329
772	263
773	508
775	154
776	472
777	317
779	281
780	133
781	732
782	234
784	703
785	541
786	271
788	342
789	698
791	167
792	455
793	805
794	718
795	73
796	694
798	33
799	837
800	413
801	23
802	118
803	244
804	808
805	942
806	7
807	629
808	242
809	642
810	84
811	907
812	497
813	464
815	227
816	912
817	355
818	401
819	399
820	60
821	46
822	136
823	666
825	886
826	604
827	543
829	390
830	597
831	908
832	646
833	130
834	89
835	732
836	546
837	710
838	263
839	753
840	404
841	597
842	651
844	588
845	182
846	728
848	880
850	112
851	551
854	462
856	743
858	77
859	905
860	40
862	753
863	721
864	555
867	764
868	624
869	807
870	901
871	732
872	538
875	447
876	355
877	19
878	12
879	696
880	751
881	652
882	709
883	485
884	8
885	697
886	139
887	932
888	880
889	892
890	683
891	54
892	435
894	630
895	592
896	767
898	526
901	283
902	106
903	551
904	654
905	364
906	863
907	286
908	314
909	342
910	261
911	219
912	150
913	880
915	913
916	909
917	735
918	223
919	222
920	113
921	492
922	294
923	208
924	784
925	355
926	517
927	893
928	670
929	494
931	875
934	426
935	330
937	838
938	260
939	411
940	912
943	588
